Date,USDZAR
03/04/2020,18.47
06/04/2020,19.25
07/04/2020,18.59
08/04/2020,18.23
09/04/2020,18.20
10/04/2020,18.03
13/04/2020,18.03
14/04/2020,18.10
15/04/2020,18.29
16/04/2020,18.66
17/04/2020,18.66
20/04/2020,18.80
21/04/2020,18.77
22/04/2020,18.96
23/04/2020,18.98
24/04/2020,19.10
27/04/2020,19.02
28/04/2020,18.80
29/04/2020,18.59
30/04/2020,18.14
01/05/2020,18.53
04/05/2020,18.91
05/05/2020,18.45
06/05/2020,18.47
07/05/2020,18.81
08/05/2020,18.52
11/05/2020,18.32
12/05/2020,18.40
13/05/2020,18.41
14/05/2020,18.47
15/05/2020,18.42
18/05/2020,18.57
19/05/2020,18.34
20/05/2020,18.32
21/05/2020,17.92
22/05/2020,17.57
25/05/2020,17.56
26/05/2020,17.64
27/05/2020,17.38
28/05/2020,17.34
29/05/2020,17.48
01/06/2020,17.56
02/06/2020,17.38
03/06/2020,17.15
04/06/2020,16.90
05/06/2020,16.88
08/06/2020,16.75
09/06/2020,16.65
10/06/2020,16.58
11/06/2020,16.49
12/06/2020,17.20
15/06/2020,17.17
16/06/2020,17.09
17/06/2020,17.17
18/06/2020,17.18
19/06/2020,17.37
22/06/2020,17.39
23/06/2020,17.26
24/06/2020,17.19
25/06/2020,17.39
26/06/2020,17.13
29/06/2020,17.30
30/06/2020,17.22
01/07/2020,17.34
02/07/2020,17.04
03/07/2020,16.96
06/07/2020,17.04
07/07/2020,16.98
08/07/2020,17.16
09/07/2020,16.90
10/07/2020,16.82
13/07/2020,16.81
14/07/2020,16.79
15/07/2020,16.68
16/07/2020,16.57
17/07/2020,16.73
20/07/2020,16.66
21/07/2020,16.62
22/07/2020,16.38
23/07/2020,16.48
24/07/2020,16.63
27/07/2020,16.66
28/07/2020,16.39
29/07/2020,16.47
30/07/2020,16.55
31/07/2020,16.73
03/08/2020,17.02
04/08/2020,17.19
05/08/2020,17.35
06/08/2020,17.32
07/08/2020,17.42
10/08/2020,17.67
11/08/2020,17.66
12/08/2020,17.49
13/08/2020,17.45
14/08/2020,17.41
17/08/2020,17.36
18/08/2020,17.50
19/08/2020,17.31
20/08/2020,17.25
21/08/2020,17.24
24/08/2020,17.14
25/08/2020,16.96
26/08/2020,16.82
27/08/2020,16.85
28/08/2020,17.03
31/08/2020,16.57
01/09/2020,16.95
02/09/2020,16.63
03/09/2020,16.81
04/09/2020,16.75
07/09/2020,16.62
08/09/2020,16.70
09/09/2020,16.96
10/09/2020,16.58
11/09/2020,16.84
14/09/2020,16.70
15/09/2020,16.65
16/09/2020,16.41
17/09/2020,16.26
18/09/2020,16.13
21/09/2020,16.29
22/09/2020,16.76
23/09/2020,16.77
24/09/2020,17.06
25/09/2020,16.90
28/09/2020,17.11
29/09/2020,17.00
30/09/2020,16.93
01/10/2020,16.73
02/10/2020,16.45
05/10/2020,16.46
06/10/2020,16.55
07/10/2020,16.69
08/10/2020,16.61
09/10/2020,16.58
12/10/2020,16.49
13/10/2020,16.49
14/10/2020,16.46
15/10/2020,16.53
16/10/2020,16.56
19/10/2020,16.51
20/10/2020,16.51
21/10/2020,16.45
22/10/2020,16.34
23/10/2020,16.18
26/10/2020,16.22
27/10/2020,16.18
28/10/2020,16.19
29/10/2020,16.35
30/10/2020,16.36
02/11/2020,16.27
03/11/2020,16.18
04/11/2020,16.01
05/11/2020,15.86
06/11/2020,15.67
09/11/2020,15.59
10/11/2020,15.37
11/11/2020,15.59
12/11/2020,15.63
13/11/2020,15.64
16/11/2020,15.50
17/11/2020,15.29
18/11/2020,15.33
19/11/2020,15.45
20/11/2020,15.43
23/11/2020,15.43
24/11/2020,15.36
25/11/2020,15.18
26/11/2020,15.12
27/11/2020,15.21
30/11/2020,15.24
01/12/2020,15.44
02/12/2020,15.24
03/12/2020,15.28
04/12/2020,15.17
07/12/2020,15.21
08/12/2020,15.14
09/12/2020,14.97
